Id,REFID,Code,Category,LocalName,EnglishName,ScientificName,FrenchNames,Source,ENERGY_kJ,ENERGY_kcal,WATER_g,PROTEIN_g,FAT_g,CHO_g,FIB_g,ASH_g,Ca_mg,Fe_mg,Mg_mg,P_mg,K_mg,Na_mg,Zn_mg,Cu_mg,Mn_mg,VIT_A_RAE_mcg,RETOL_mcg,CARTB_mcg,VITDEQ_mcg,VITE_mg,THIA_mg,RIBF_mg,NIAEQ_mg,VIT_B6_mg,FOL_mcg,VITB12_mcg,VITC_mg,SearchName
1,1,01_01_01,Cereals and Grain Products,,"Acha, black, whole grain, Raw",Digitaria iburua,,002,1491.7,352.6,10.3,8.9,3,69.4,6.2,2.2,51,10,434,234,340,8,3.8,0.44,,,,,,0.05,0.26,0.1,1.7,0.74,29,,,"Acha, black, whole grain, Raw   Digitaria iburua"
2,3,01_01_03,Cereals and Grain Products,,"Acha, white, whole grain, Raw",Digitaria exilis,,002,1471,347.9,11.1,7,3.1,69.3,7.4,2.1,40,8.5,430,191,337,7,1.5,0.44,,,,,,0.05,0.25,0.1,1.7,0.73,29,,,"Acha, white, whole grain, Raw   Digitaria exilis"
3,2,01_01_02,Cereals and Grain Products,Tuwon Acha(Hausa),"Acha, white, whole grain, Boiled",Digitaria iburua,,002,613.5,145.1,63,2.9,1.3,28.9,3.1,0.9,17,3.5,179,77,110,2,0.61,0.18,,,,,,0.02,0.07,0.03,0.6,0.19,9,,,"Acha, white, whole grain, Boiled  Tuwon Acha(Hausa) Digitaria iburua"
4,4,01_02_01,Cereals and Grain Products,"Masara(Hausa), Agbado(Yoruba), Abakpa(Ibibio)","Maize, white, whole kernel, dried, raw",Zea mays,,"001,002,007,040,189,203,085,100",1584.231,374.084,10.24,9.257,3.952,74.686,1.37,2.147,17.214,2.400,41.075,273,355,30.5,1.55,0.18,1.25,,,,,1.3,0.382,0.156,2.814,0.622,26,,5.7,"Maize, white, whole kernel, dried, raw  Masara(Hausa), Agbado(Yoruba), Abakpa(Ibibio) Zea mays"
5,5,01_02_02,Cereals and Grain Products,Agidi(Yoruba),"Maize, white,fermented gruel,cooked, moulded",,,"096,033,035,002,085",395.437,93.34,78.522,1.838,0.487,19.752,1.3,0.273,4.333,0.1,8.26,56,40,,1.607,0.515,,0.87,,97,,0.04,0.02,0.05,0.3,0.02,1.1,,2,"Maize, white,fermented gruel,cooked, moulded  Agidi(Yoruba)"
6,6,01_02_03,Cereals and Grain Products,Ogi(Yoruba),"Maize, white, fermented gruel",,,"033,035,002,097",207.963,49.01,89.223,1.04,0.063,10.82,0.5,0.093,1.845,0.183,3.19,10,15,0.82,0.243,0.285,0.33,,,68,,0.02,0.01,0.02,0.1,0.01,1,,,"Maize, white, fermented gruel  Ogi(Yoruba)"
7,7,01_02_04,Cereals and Grain Products,,"Maize, yellow, whole kernel, dried, raw",Zea mays,,"001,002,085",1651.08,390.76,10.557,9.807,4.38,73.853,8.35,1.25,9.5,3.105,124,226,291,23,1.955,0.277,,50,,597,,1.3,0.33,0.15,2.2,0.4,26,,,"Maize, yellow, whole kernel, dried, raw   Zea mays"
8,8,01_02_05,Cereals and Grain Products,,"Maize, yellow, whole kernel, boiled",,,002,571.9,135.5,65.9,3.5,1.7,24.7,3.7,0.5,5,1.3,46,90,88,3,0.63,0.09,,17,,207,,0.5,0.09,0.04,0.7,0.1,7,,,"Maize, yellow, whole kernel, boiled"
9,9,01_02_06,Cereals and Grain Products,Agidi(Yoruba),"Maize, yellow,fermented gruel,cooked, moulded",,,"002,033,035",215.83,50.96,87.82,0.9,0.08,11.01,1.3,0.15,1.98,0.295,9.51,26,49,0.805,0.225,0.605,0.4,3,,41,,0.04,0.02,0.01,0.2,0.03,1,,,"Maize, yellow,fermented gruel,cooked, moulded  Agidi(Yoruba)"
10,10,01_02_07,Cereals and Grain Products,,"Maize, yellow, fermented gruel",,,"002,033,035",173.8,40.975,89.775,0.765,0.075,9.06,0.5,0.08,3.29,0.095,4.195,10,7.59,0.61,0.13,0.355,,1,,15,,0.01,0.01,0.004,0.1,0.01,,,,"Maize, yellow, fermented gruel"
